FirstName,LastName,Email,Hobbie,Phone,Gender,Status,Image,Location
sneha12345,shah,satyamshah@gmail.com,-,1234567894,Female,Active,image-1681197056295.a4.jpg,ahmedabad
tesing,test,testing@gmail.com,-,1234567894,Male,InActive,image-1681797021808.a3.jpg,gandhinagar
checking,checking data,checking@gmail.com,-,1234567895,Female,InActive,image-1681797054229.a4.jpg,rajkot
tyt,tytyt,tytyty@gmail.com,-,1234567898,Male,Active,image-1681802506289.a5.jpg,ahmedabad
mahesh,panchal,mahesh@gmail.com,-,1234567895,Male,Active,image-1681910234475.a3.jpg,gandhinagar
subham,patel,subham@gmail.com,-,1234567898,Male,InActive,image-1681910261896.a1.jpg,ahmedabad
sonal,shah,sonal@gmail.com,-,1234567892,Female,Active,image-1681910288552.woman1.png,ahmedabad
ccc,ccc,cc@gmail.com,-,1234567898,Male,Active,image-1682054784746.a2.jpg,ahmedabad
nn,nn,nn@gmail.com,-,1234567895,Male,Active,image-1682054960168.a1.jpg,marikin
bb,bb,bb@gmail.com,"Cricket,Vollyball",1234567895,Male,Active,image-1682057040372.a2.jpg,gandhinagar
